Number,Title,Ingredients,Instructions,Image_Name,Cleaned_Ingredients
0,Miso-Butter Roast Chicken With Acorn Squash Panzanella,"['1 (3Â½â€“4-lb.) whole chicken', '2Â¾ tsp. kosher salt, divided, plus more', '2 small acorn squash (about 3 lb. total)', '2 Tbsp. finely chopped sage', '1 Tbsp. finely chopped rosemary', '6 Tbsp. unsalted butter, melted, plus 3 Tbsp. room temperature', 'Â¼ tsp. ground allspice', 'Pinch of crushed red pepper flakes', 'Freshly ground black pepper', 'â…“ loaf good-quality sturdy white bread, torn into 1"" pieces (about 2Â½ cups)', '2 medium apples (such as Gala or Pink Lady; about 14 oz. total), cored, cut into 1"" pieces', '2 Tbsp. extra-virgin olive oil', 'Â½ small red onion, thinly sliced', '3 Tbsp. apple cider vinegar', '1 Tbsp. white miso', 'Â¼ cup all-purpose flour', '2 Tbsp. unsalted butter, room temperature', 'Â¼ cup dry white wine', '2 cups unsalted chicken broth', '2 tsp. white miso', 'Kosher salt, freshly ground pepper']","Pat chicken dry with paper towels, season all over with 2 tsp. salt, and tie legs together with kitchen twine. Let sit at room temperature 1 hour.
Meanwhile, halve squash and scoop out seeds. Run a vegetable peeler along ridges of squash halves to remove skin. Cut each half into Â½""-thick wedges; arrange on a rimmed baking sheet.
Combine sage, rosemary, and 6 Tbsp. melted butter in a large bowl; pour half of mixture over squash on baking sheet. Sprinkle squash with allspice, red pepper flakes, and Â½ tsp. salt and season with black pepper; toss to coat.
Add bread, apples, oil, and Â¼ tsp. salt to remaining herb butter in bowl; season with black pepper and toss to combine. Set aside.
Place onion and vinegar in a small bowl; season with salt and toss to coat. Let sit, tossing occasionally, until ready to serve.
Place a rack in middle and lower third of oven; preheat to 425Â°F. Mix miso and 3 Tbsp. room-temperature butter in a small bowl until smooth. Pat chicken dry with paper towels, then rub or brush all over with miso butter. Place chicken in a large cast-iron skillet and roast on middle rack until an instant-read thermometer inserted into the thickest part of breast registers 155Â°F, 50â€“60 minutes. (Temperature will climb to 165Â°F while chicken rests.) Let chicken rest in skillet at least 5 minutes, then transfer to a plate; reserve skillet.
Meanwhile, roast squash on lower rack until mostly tender, about 25 minutes. Remove from oven and scatter reserved bread mixture over, spreading into as even a layer as you can manage. Return to oven and roast until bread is golden brown and crisp and apples are tender, about 15 minutes. Remove from oven, drain pickled onions, and toss to combine. Transfer to a serving dish.
Using your fingers, mash flour and butter in a small bowl to combine.
Set reserved skillet with chicken drippings over medium heat. You should have about Â¼ cup, but a little over or under is all good. (If you have significantly more, drain off and set excess aside.) Add wine and cook, stirring often and scraping up any browned bits with a wooden spoon, until bits are loosened and wine is reduced by about half (you should be able to smell the wine), about 2 minutes. Add butter mixture; cook, stirring often, until a smooth paste forms, about 2 minutes. Add broth and any reserved drippings and cook, stirring constantly, until combined and thickened, 6â€“8 minutes. Remove from heat and stir in miso. Taste and season with salt and black pepper.
Serve chicken with gravy and squash panzanella alongside.",miso-butter-roast-chicken-acorn-squash-panzanella,"['1 (3Â½â€“4-lb.) whole chicken', '2Â¾ tsp. kosher salt, divided, plus more', '2 small acorn squash (about 3 lb. total)', '2 Tbsp. finely chopped sage', '1 Tbsp. finely chopped rosemary', '6 Tbsp. unsalted butter, melted, plus 3 Tbsp. room temperature', 'Â¼ tsp. ground allspice', 'Pinch of crushed red pepper flakes', 'Freshly ground black pepper', 'â…“ loaf good-quality sturdy white bread, torn into 1"" pieces (about 2Â½ cups)', '2 medium apples (such as Gala or Pink Lady; about 14 oz. total), cored, cut into 1"" pieces', '2 Tbsp. extra-virgin olive oil', 'Â½ small red onion, thinly sliced', '3 Tbsp. apple cider vinegar', '1 Tbsp. white miso', 'Â¼ cup all-purpose flour', '2 Tbsp. unsalted butter, room temperature', 'Â¼ cup dry white wine', '2 cups unsalted chicken broth', '2 tsp. white miso', 'Kosher salt', 'freshly ground pepper']"
1,Crispy Salt and Pepper Potatoes,"['2 large egg whites', '1 pound new potatoes (about 1 inch in diameter)', '2 teaspoons kosher salt', 'Â¾ teaspoon finely ground black pepper', '1 teaspoon finely chopped rosemary', '1 teaspoon finely chopped thyme', '1 teaspoon finely chopped parsley']","Preheat oven to 400Â°F and line a rimmed baking sheet with parchment. In a large bowl, whisk the egg whites until foamy (there shouldnâ€™t be any liquid whites in the bowl). Add the potatoes and toss until theyâ€™re well coated with the egg whites, then transfer to a strainer or colander and let the excess whites drain. Season the potatoes with the salt, pepper, and herbs. Scatter the potatoes on the baking sheet (make sure theyâ€™re not touching) and roast until the potatoes are very crispy and tender when poked with a knife, 15 to 20 minutes (depending on the size of the potatoes).
Transfer to a bowl and serve.",crispy-salt-and-pepper-potatoes-dan-kluger,"['2 large egg whites', '1 pound new potatoes (about 1 inch in diameter)', '2 teaspoons kosher salt', 'Â¾ teaspoon finely ground black pepper', '1 teaspoon finely chopped rosemary', '1 teaspoon finely chopped thyme', '1 teaspoon finely chopped parsley']"
2,Thanksgiving Mac and Cheese,"['1 cup evaporated milk', '1 cup whole milk', '1 tsp. garlic powder', '1 tsp. onion powder', '1 tsp. smoked paprika', 'Â½ tsp. freshly ground black pepper', '1 tsp. kosher salt, plus more', '2 lb. extra-sharp cheddar, coarsely grated', '4 oz. full-fat cream cheese', '1 lb. elbow macaroni']","Place a rack in middle of oven; preheat to 400Â°. Bring evaporated milk and whole milk to a bare simmer in a large saucepan over medium heat. Whisk in garlic powder, onion powder, paprika, pepper, and 1 tsp. salt. Working in batches, whisk in three fourths of the cheddar, then all of the cream cheese.
Meanwhile, bring a large pot of generously salted water to a boil (it should have a little less salt than seawater). Cook macaroni, stirring occasionally, until very al dente, about 4 minutes. Drain in a colander.
Add macaroni to cheese sauce in pan and mix until well coated. Evenly spread out half of macaroni mixture in a 13x9"" baking dish. Sprinkle half of remaining cheddar evenly over. Layer remaining macaroni mixture on top and sprinkle with remaining cheddar. Bake until all of the cheese is melted, about 10 minutes. Let cool slightly before serving.",thanksgiving-mac-and-cheese-erick-williams,"['1 cup evaporated milk', '1 cup whole milk', '1 tsp. garlic powder', '1 tsp. onion powder', '1 tsp. smoked paprika', 'Â½ tsp. freshly ground black pepper', '1 tsp. kosher salt, plus more', '2 lb. extra-sharp cheddar, coarsely grated', '4 oz. full-fat cream cheese', '1 lb. elbow macaroni']"
3,Italian Sausage and Bread Stuffing,"['1 (Â¾- to 1-pound) round Italian loaf, cut into 1-inch cubes (8 cups)', '2 tablespoons olive oil, divided', '2 pounds sweet Italian sausage, casings removed, divided', '1 stick unsalted butter, cut into pieces', '3 medium onions, chopped', '4 large celery ribs, chopped', '5 garlic cloves, minced', '4 large eggs, lightly beaten', 'Â¾ cup heavy cream, divided', 'Â½ cup turkey giblet stock or reduced-sodium chicken broth', '1 cup grated Parmigiano-Reggiano (2 ounces)', 'Â½ cup coarsely chopped flat-leaf parsley', '4-qt shallow ceramic or glass baking dish']","Preheat oven to 350Â°F with rack in middle. Generously butter baking dish.
Put bread in 2 shallow baking pans and bake, switching position of pans halfway through baking, until just dried out, about 10 minutes.
Heat 1 tablespoon oil in a 12-inch heavy skillet over medium-high heat until it shimmers, then cook half of sausage, stirring and breaking it into small pieces, until golden brown, about 6 minutes. Transfer with a slotted spoon to a large bowl. Brown remaining sausage in remaining tablespoon oil, transferring to bowl.
Pour off fat from skillet and wipe clean. Heat butter over medium heat until foam subsides, then cook onions, celery, garlic, and Â½ teaspoon each of salt and pepper, stirring occasionally, until golden, 12 to 15 minutes. Add vegetables and bread to sausage.
Whisk together eggs, Â½ cup cream, turkey stock, cheese, and parsley, then stir into stuffing and cool completely, about 30 minutes. Reserve 5 cups stuffing to stuff turkey and spoon remainder into baking dish, then drizzle with remaining Â¼ cup cream. Cover stuffing and chill.
About 1 hour before stuffed turkey is finished roasting, bring dish of stuffing to room temperature. When turkey is done, increase oven temperature to 425Â°F and bake stuffing, covered tightly with foil, until hot throughout, about 20 minutes. Remove foil and bake until top is golden and crisp, about 15 minutes more.
Cooks' Note: Bread can be toasted 3 days ahead and kept (once cool) in a sealed bag at room temperature. Stuffing can be prepared (but not baked) 4 hours before roasting turkey. If baking stuffing at the same time as potatoes, put stuffing in upper third of oven and potatoes in bottom third (allow extra time).",italian-sausage-and-bread-stuffing-240559,"['1 (Â¾- to 1-pound) round Italian loaf, cut into 1-inch cubes (8 cups)', '2 tablespoons olive oil, divided', '2 pounds sweet Italian sausage, casings removed, divided', '1 stick unsalted butter, cut into pieces', '3 medium onions, chopped', '4 large celery ribs, chopped', '5 garlic cloves, minced', '4 large eggs, lightly beaten', 'Â¾ cup heavy cream, divided', 'Â½ cup turkey giblet stock or reduced-sodium chicken broth', '1 cup grated Parmigiano-Reggiano (2 ounces)', 'Â½ cup coarsely chopped flat-leaf parsley', '4-qt shallow ceramic or glass baking dish']"
4,Newton's Law,"['1 teaspoon dark brown sugar', '1 teaspoon hot water', '1 Â½ oz. bourbon', 'Â½ oz. fresh lemon juice', '2 teaspoons apple butter (storebought or homemade)', 'Garnish: orange twist and freshly grated or ground cinnamon']","Stir together brown sugar and hot water in a cocktail shaker to dissolve. Let cool, then add bourbon, lemon juice, and apple butter and fill with ice. Shake until well chilled, about 15 seconds. Strain into an ice-filled rocks glass. Garnish with orange twist and cinnamon.",newtons-law-apple-bourbon-cocktail,"['1 teaspoon dark brown sugar', '1 teaspoon hot water', '1 Â½ oz. bourbon', 'Â½ oz. fresh lemon juice', '2 teaspoons apple butter (storebought or homemade)', 'Garnish: orange twist and freshly grated or ground cinnamon']"
5,Warm Comfort,"['2 chamomile tea bags', '1Â½ oz. reposado tequila', 'Â¾ oz. fresh lemon juice', '1 Tbsp. agave nectar']","Place 2 chamomile tea bags in a heatsafe vessel, such as a large liquid measuring cup. Pour in 1 Â½ cups boiling water, and let steep 5 minutes, then remove tea bags.
Add 1 Â½ oz. reposado tequila, Â¾ oz. fresh lemon juice, and 1 Tbsp. agave nectar and stir until incorporated. Pour into a 16-ounce insulated mug (or two smaller 8-ounce mugs) and drink hot.",warm-comfort-tequila-chamomile-toddy,"['2 chamomile tea bags', '1Â½ oz. reposado tequila', 'Â¾ oz. fresh lemon juice', '1 Tbsp. agave nectar']"
6,Apples and Oranges,"['3 oz. Grand Marnier', '1 oz. Amaro Averna', 'Small pat salted butter (about Â½ teaspoon)', '1 cup hot apple cider', '1Â½ to 3 tsp. fresh lemon juice (to taste, depending on the sweetness of your cider)', 'Garnish: freshly ground pink peppercorns, plus 2 lemon wheels (optional)']","Add 3 oz. Grand Marnier, 1 oz. Amaro Averna, and a small pat of salted butter to a 16-ounce travel mug or large heatproof measuring cup. Add 1 cup hot apple cider and stir until butter melts.
Add 1Â½ tsp. fresh lemon juice and taste for sweetness, adding additional if needed. If serving in travel mug, garnish with ground pink peppercorns and seal. If serving in mugs, divide drink between two warmed mugs and garnish each with a pink peppercorn-dusted lemon wheel.",apples-and-oranges-spiked-cider,"['3 oz. Grand Marnier', '1 oz. Amaro Averna', 'Small pat salted butter (about Â½ teaspoon)', '1 cup hot apple cider', '1Â½ to 3 tsp. fresh lemon juice (to taste, depending on the sweetness of your cider)', 'Garnish: freshly ground pink peppercorns', 'plus 2 lemon wheels (optional)']"
7,Turmeric Hot Toddy,"['Â¼ cup granulated sugar', 'Â¾ tsp. ground turmeric', '1 Â½ oz. Amontillado sherry', '1 oz. bourbon, aged rum, Scotch, mezcal, or gin', '1 oz. Turmeric Syrup', 'Â½ oz. fresh lemon juice', 'Garnish: Dehydrated lemon wheel (optional)']","For the turmeric syrup, combine Â½ cup hot water and Â¼ cup sugar in a liquid measuring cup or mason jar. Add Â¾ tsp. ground turmeric and stirâ€”or seal and shakeâ€”until sugar is completely dissolved. (This makes enough syrup for 4 drinks. Syrup can be used immediately or refrigerated, covered, up to 10 days. Shake or stir before using to reincorporate turmeric.)
For the toddy, combine 1 Â½ oz. Amontillado sherry, 1 oz. bourbon (or other spirit of choice), 1 oz. Turmeric Syrup, and Â½ oz. fresh lemon juice in a sturdy pint glass or 16-ounce thermos. Top with 8 oz. hot water and stir gently. Garnish with dehydrated lemon wheel if desired.",turmeric-hot-toddy-claire-sprouse,"['Â¼ cup granulated sugar', 'Â¾ tsp. ground turmeric', '1 Â½ oz. Amontillado sherry', '1 oz. bourbon, aged rum, Scotch, mezcal, or gin', '1 oz. Turmeric Syrup', 'Â½ oz. fresh lemon juice', 'Garnish: Dehydrated lemon wheel (optional)']"
8,Instant Pot Lamb Haleem,"['Â¾ cup assorted dals (such as chana dal, moong dal, masoor dal, and/or urad dal)', 'Â¼ cup white jasmine rice or other long-grain rice', 'Â¼ cup pearl barley', '1Â½ lb. bone-in lamb stew meat', '3 tsp. kosher salt, divided, plus more', '1 6"" piece fresh ginger', '3 medium shallots, thinly sliced', 'â…“ cup ghee or vegetable oil', '4 garlic cloves, finely grated', '2 Tbsp. plus 1Â½ tsp. garam masala', '1 tsp. (or more) cayenne pepper', '1 tsp. ground turmeric', '3 green Thai chiles, stems removed (optional)', 'Â½ cup (lightly packed) chopped cilantro, plus more for serving', 'Â½ white onion, finely chopped', '2 limes, cut into wedges']","Combine dals, rice, and barley in a medium bowl. Pour in water to cover and swish dals and grains around with your fingers. Drain and repeat process until water runs clear enough to see your hands through. Pour in water to cover and let dals and grains soak at room temperature at least 2 hours, or cover and chill up to 12 hours.
Place lamb on a plate, pat dry with paper towels, and season all over with 2 tsp. salt; set aside. Peel ginger by scraping off skin with a spoon. Finely grate half of ginger; set aside. Thinly slice remaining ginger. Stack slices and cut crosswise into matchsticks; set aside.
If using an electric pressure cooker, combine shallots and ghee in pot and set to sautÃ© function or high. Cook, stirring often and adjusting heat as needed if your cooker has that option, until shallots are just beginning to brown, about 8 minutes (or about 6 minutes if cooking in oil). Reduce to normal function or medium if possible, or, if your cooker doesnâ€™t have a lower setting, turn off for a minute if mixture is getting too hot. Add reserved ginger matchsticks and cook, stirring often, until shallots are brown and crisp and ginger is frizzled, 4â€“10 minutes, depending on your cooker. Using a slotted spoon, transfer shallots and ginger to a plate, spreading out into a single layer. Season lightly with salt; let cool.
Add garlic, garam masala, cayenne, turmeric, and reserved grated ginger, and cook, stirring constantly, until fragrant, about 30 seconds. Add lamb and stir to coat in spices. Cook, stirring often with a wooden spoon and repeatedly adding splashes of water as spices begin to stick to bottom of pot and scraping up browned bits, until flavors come together, about 15 minutes.(Bhuna, the process of repeated sticking and scraping, is a Southeast Asian cooking technique that brings out the flavor of the spices and ensures they donâ€™t taste raw and grainy.)
Drain dal mixture and add to pot along with 1 tsp. salt and 5 cups water. Secure lid and bring to full pressure according to manufacturerâ€™s directions. Cook 1Â½ hours. Let sit 20 minutes, then manually release pressure and open up.
Taste haleem and add more salt and cayenne if needed. Add chiles if using. (These are for flavor, not heat; feel free to leave them out.) Simmer on normal function or medium, stirring often, 5 minutes. Stir in Â½ cup cilantro.
Serve haleem with white onion, lime wedges, reserved crispy shallots and ginger, and more chopped cilantro.
If using a medium Dutch oven or stovetop pressure cooker, cook shallots and ghee over high heat, stirring often, until shallots are just beginning to brown, about 8 minutes (or about 6 minutes if cooking in oil). Add reserved ginger matchsticks and cook, stirring often, until shallots are brown and crisp and ginger is frizzled, 5â€“8 minutes. Using a slotted spoon, transfer shallots and ginger to a plate, spreading out in a single layer. Season lightly with salt; let cool.
Reduce heat to medium, add garlic, garam masala, cayenne, turmeric, and reserved grated ginger, and cook, stirring constantly, until fragrant, about 30 seconds. Add lamb and stir to coat in spices. Cook, stirring often with a wooden spoon and repeatedly adding splashes of water as spices begin to stick to bottom of pot and scraping up browned bits, until flavors come together, about 15 minutes. (Bhuna, the process of repeated sticking and scraping, is a Southeast Asian cooking technique that brings out the flavor of the spices and ensures they donâ€™t taste raw and grainy.)
Drain dal mixture and add to pot along with 1 tsp. salt and 6Â½ cups water (if using a Dutch oven) or 5 cups water (for pressure cooker). Increase heat to high and bring to a boil, then reduce heat to the low, cover pot, and cook, stirring and scraping bottom of pot every 15â€“20 minutes, until meat is falling off the bone and dals and grains have nearly melted into the stew, 4Â½â€“5 hours. (If using a stovetop cooker, increase heat to high and bring to a boil. Secure lid and bring to full pressure according to manufacturerâ€™s directions. Cook 1Â½ hours. Let sit 20 minutes, then manually release pressure and open up.)
Taste haleem and add more salt and cayenne if needed. Add chiles if using. (These are for flavor, not heat; feel free to leave them out.) Simmer over medium heat, stirring often, 5 minutes. Stir in Â½ cup cilantro.
Serve haleem with white onion, lime wedges, reserved crispy shallots and ginger, and more chopped cilantro.
Do ahead: Haleem can be made 1 day ahead. Let cool; cover and chill. Reheat over medium until warmed through.",instant-pot-lamb-haleem,"['Â¾ cup assorted dals (such as chana dal, moong dal, masoor dal, and/or urad dal)', 'Â¼ cup white jasmine rice or other long-grain rice', 'Â¼ cup pearl barley', '1Â½ lb. bone-in lamb stew meat', '3 tsp. kosher salt, divided, plus more', '1 6"" piece fresh ginger', '3 medium shallots, thinly sliced', 'â…“ cup ghee or vegetable oil', '4 garlic cloves, finely grated', '2 Tbsp. plus 1Â½ tsp. garam masala', '1 tsp. (or more) cayenne pepper', '1 tsp. ground turmeric', '3 green Thai chiles, stems removed (optional)', 'Â½ cup (lightly packed) chopped cilantro, plus more for serving', 'Â½ white onion, finely chopped', '2 limes', 'cut into wedges']"
9,Spiced Lentil and Caramelized Onion Baked Eggs,"['1 (14.5-ounce) can basic lentil soup, like Amyâ€™s', '1 large onion, thinly sliced', 'Â½ tsp. turmeric', '1 tsp. cumin', 'Â¼ tsp. Aleppo pepper or â…› tsp. crushed red pepper flakes', '2 Tbsp. tomato paste', '3 large eggs', '2 Tbsp. ghee, unsalted butter, or olive oil', 'Â½ tsp. whole cumin seeds', 'Olive oil', 'Kosher salt and freshly ground black pepper', 'Parsley, for finishing']","Place an oven rack in the center of the oven, then preheat to 350Â°F.
In a medium, oven-safe pan, heat 1 Tbsp. olive oil over medium heat. Add 1 large, thinly sliced onion and Â½ tsp. Kosher salt. Cook, stirring often, until golden brown, about 25 minutes.
Add Â½ tsp. turmeric, 1 tsp. cumin, Â¼ tsp. Aleppo pepper (or â…› tsp. crushed red pepper flakes), and 2 Tbsp. tomato paste. Cook and stir constantly until the onions are coated and the tomato paste has darkened slightly, about 2 minutes. Add â…“ cup water; stir and scrape up all the browned bits on the bottom of the pan for 1 to 2 minutes, or until the liquid looks thickened and saucy. Add one 14-oz. can of lentil soup; cook, stirring to combine, 1 to 2 minutes. Turn off the heat and season with salt, pepper, and more Aleppo pepper or red pepper flakes to taste.
Using a spoon, create 3 wells in the lentil mixture. Carefully crack 1 egg into each well. Transfer the pan to the oven and bake until the whites of the eggs are just set, 11 to 13 minutes.
While the eggs bake, in a small pot or butter warmer, heat 2 Tbsp. unsalted butter, ghee, or olive oil over medium heat. Add Â½ tsp. cumin seeds; swirl the pan until the seeds start to sizzle and brown, 30 seconds to 1 minute. Remove from the heat.
Drizzle the finished eggs with the butter mixture, season with salt and pepper, and garnish with parsley before serving.",spiced-lentil-and-caramelized-onion-baked-eggs,"['1 (14.5-ounce) can basic lentil soup, like Amyâ€™s', '1 large onion, thinly sliced', 'Â½ tsp. turmeric', '1 tsp. cumin', 'Â¼ tsp. Aleppo pepper or â…› tsp. crushed red pepper flakes', '2 Tbsp. tomato paste', '3 large eggs', '2 Tbsp. ghee, unsalted butter, or olive oil', 'Â½ tsp. whole cumin seeds', 'Olive oil', 'Kosher salt and freshly ground black pepper', 'Parsley', 'for finishing']"
